Fecha,Provincias,Puestos,Sueldo_bruto,Sueldo_neto
2006-01-01,caba,1279692.0,1955.0,1795.0
2006-01-01,catamarca,27930.0,1264.0,1157.0
2006-01-01,chaco,48149.0,1046.0,955.0
2006-01-01,chubut,84713.0,2078.0,1882.0
2006-01-01,cordoba,387987.0,1261.0,1161.0
2006-01-01,corrientes,56158.0,1123.0,1026.0
2006-01-01,entre_rios,102826.0,1116.0,1020.0
2006-01-01,formosa,17071.0,1047.0,937.0
2006-01-01,jujuy,42135.0,1043.0,938.0
2006-01-01,la_pampa,31567.0,1154.0,1048.0
2006-01-01,la_rioja,26338.0,1137.0,1032.0
2006-01-01,mendoza,179545.0,1166.0,1072.0
2006-01-01,misiones,78615.0,1100.0,999.0
2006-01-01,neuquen,79293.0,2135.0,1965.0
2006-01-01,provincia_buenos_aires,1549285.0,1494.0,1370.0
2006-01-01,rio_negro,95765.0,1343.0,1220.0
2006-01-01,salta,69809.0,1117.0,1015.0
2006-01-01,san_juan,63249.0,1200.0,1119.0
2006-01-01,san_luis,46897.0,1388.0,1263.0
2006-01-01,santa_cruz,47130.0,2384.0,2178.0
2006-01-01,santa_fe,417937.0,1328.0,1218.0
2006-01-01,santiago_estero,34146.0,1000.0,900.0
2006-01-01,tierra_fuego,24933.0,2250.0,2017.0
2006-01-01,tucuman,103412.0,1126.0,1018.0
2006-04-01,caba,1307624.0,2189.0,1986.0
2006-04-01,catamarca,28771.0,1443.0,1300.0
2006-04-01,chaco,49766.0,1245.0,1120.0
2006-04-01,chubut,86396.0,2596.0,2335.0
2006-04-01,cordoba,397546.0,1486.0,1347.0
2006-04-01,corrientes,57256.0,1324.0,1193.0
2006-04-01,entre_rios,106955.0,1316.0,1187.0
2006-04-01,formosa,17431.0,1213.0,1075.0
2006-04-01,jujuy,39512.0,1327.0,1180.0
2006-04-01,la_pampa,31775.0,1382.0,1240.0
2006-04-01,la_rioja,26110.0,1376.0,1233.0
2006-04-01,mendoza,175275.0,1406.0,1273.0
2006-04-01,misiones,83052.0,1282.0,1151.0
2006-04-01,neuquen,77393.0,2572.0,2335.0
2006-04-01,provincia_buenos_aires,1557442.0,1763.0,1595.0
2006-04-01,rio_negro,81643.0,1570.0,1409.0
2006-04-01,salta,65742.0,1408.0,1266.0
2006-04-01,san_juan,64185.0,1410.0,1287.0
2006-04-01,san_luis,46683.0,1677.0,1507.0
2006-04-01,santa_cruz,46151.0,3000.0,2719.0
2006-04-01,santa_fe,425146.0,1552.0,1404.0
2006-04-01,santiago_estero,34391.0,1186.0,1057.0
2006-04-01,tierra_fuego,25462.0,2655.0,2377.0
2006-04-01,tucuman,126304.0,1243.0,1109.0
2006-07-01,caba,1335681.0,1972.0,1791.0
2006-07-01,catamarca,26820.0,1388.0,1250.0
2006-07-01,chaco,48848.0,1137.0,1022.0
2006-07-01,chubut,86996.0,2451.0,2212.0
2006-07-01,cordoba,403891.0,1368.0,1242.0
2006-07-01,corrientes,58325.0,1203.0,1084.0
2006-07-01,entre_rios,109491.0,1212.0,1095.0
2006-07-01,formosa,18115.0,1127.0,998.0
2006-07-01,jujuy,42976.0,1287.0,1144.0
2006-07-01,la_pampa,31794.0,1257.0,1128.0
2006-07-01,la_rioja,24349.0,1326.0,1191.0
2006-07-01,mendoza,170771.0,1306.0,1185.0
2006-07-01,misiones,82989.0,1191.0,1070.0
2006-07-01,neuquen,78910.0,2343.0,2127.0
2006-07-01,provincia_buenos_aires,1584780.0,1606.0,1454.0
2006-07-01,rio_negro,80361.0,1472.0,1323.0
2006-07-01,salta,66430.0,1297.0,1167.0
2006-07-01,san_juan,62983.0,1317.0,1202.0
2006-07-01,san_luis,47575.0,1534.0,1379.0
2006-07-01,santa_cruz,43762.0,2840.0,2584.0
2006-07-01,santa_fe,429355.0,1445.0,1309.0
2006-07-01,santiago_estero,34952.0,1084.0,967.0
2006-07-01,tierra_fuego,25330.0,2503.0,2248.0
2006-07-01,tucuman,133000.0,1182.0,1054.0
2006-10-01,caba,1381831.0,2360.0,2138.0
2006-10-01,catamarca,27576.0,1656.0,1485.0
2006-10-01,chaco,49662.0,1369.0,1222.0
2006-10-01,chubut,90859.0,2795.0,2506.0
2006-10-01,cordoba,417496.0,1650.0,1489.0
2006-10-01,corrientes,59175.0,1450.0,1296.0
2006-10-01,entre_rios,114425.0,1427.0,1281.0
2006-10-01,formosa,19175.0,1387.0,1230.0
2006-10-01,jujuy,44388.0,1512.0,1342.0
2006-10-01,la_pampa,33234.0,1492.0,1330.0
2006-10-01,la_rioja,24765.0,1608.0,1432.0
2006-10-01,mendoza,176901.0,1546.0,1393.0
2006-10-01,misiones,81376.0,1465.0,1308.0
2006-10-01,neuquen,81836.0,2791.0,2528.0
2006-10-01,provincia_buenos_aires,1642924.0,1907.0,1717.0
2006-10-01,rio_negro,82530.0,1721.0,1539.0
2006-10-01,salta,71002.0,1482.0,1324.0
2006-10-01,san_juan,66082.0,1588.0,1437.0
2006-10-01,san_luis,49239.0,1856.0,1658.0
2006-10-01,santa_cruz,48034.0,3047.0,2733.0
2006-10-01,santa_fe,444180.0,1724.0,1553.0
2006-10-01,santiago_estero,35511.0,1298.0,1150.0
2006-10-01,tierra_fuego,27427.0,2930.0,2614.0
2006-10-01,tucuman,121372.0,1420.0,1259.0
2007-01-01,caba,1404666.0,2309.0,2121.0
2007-01-01,catamarca,30301.0,1515.0,1383.0
2007-01-01,chaco,51712.0,1242.0,1115.0
2007-01-01,chubut,92176.0,2641.0,2386.0
2007-01-01,cordoba,424108.0,1509.0,1379.0
2007-01-01,corrientes,59250.0,1324.0,1192.0
2007-01-01,entre_rios,111032.0,1357.0,1233.0
2007-01-01,formosa,20090.0,1233.0,1095.0
2007-01-01,jujuy,43212.0,1299.0,1157.0
2007-01-01,la_pampa,34055.0,1379.0,1238.0
2007-01-01,la_rioja,28265.0,1353.0,1215.0
2007-01-01,mendoza,189073.0,1414.0,1291.0
2007-01-01,misiones,84087.0,1338.0,1199.0
2007-01-01,neuquen,88050.0,2615.0,2393.0
2007-01-01,provincia_buenos_aires,1689680.0,1774.0,1620.0
2007-01-01,rio_negro,102783.0,1646.0,1482.0
2007-01-01,salta,74605.0,1341.0,1206.0
2007-01-01,san_juan,69902.0,1441.0,1325.0
2007-01-01,san_luis,50520.0,1644.0,1484.0
2007-01-01,santa_cruz,52456.0,2983.0,2699.0
2007-01-01,santa_fe,444256.0,1609.0,1469.0
2007-01-01,santiago_estero,35671.0,1192.0,1061.0
2007-01-01,tierra_fuego,27201.0,2560.0,2293.0
2007-01-01,tucuman,113618.0,1333.0,1192.0
2007-04-01,caba,1438034.0,2564.0,2320.0
2007-04-01,catamarca,31829.0,1698.0,1526.0
2007-04-01,chaco,54805.0,1475.0,1315.0
2007-04-01,chubut,93000.0,3191.0,2857.0
2007-04-01,cordoba,432508.0,1796.0,1618.0
2007-04-01,corrientes,63249.0,1552.0,1384.0
2007-04-01,entre_rios,114728.0,1594.0,1431.0
2007-04-01,formosa,20386.0,1485.0,1311.0
2007-04-01,jujuy,41530.0,1641.0,1453.0
2007-04-01,la_pampa,35394.0,1613.0,1435.0
2007-04-01,la_rioja,28042.0,1682.0,1500.0
2007-04-01,mendoza,187525.0,1703.0,1534.0
2007-04-01,misiones,87742.0,1569.0,1396.0
2007-04-01,neuquen,87911.0,3078.0,2779.0
2007-04-01,provincia_buenos_aires,1696548.0,2102.0,1892.0
2007-04-01,rio_negro,87559.0,1932.0,1726.0
2007-04-01,salta,71808.0,1669.0,1487.0
2007-04-01,san_juan,69896.0,1702.0,1537.0
2007-04-01,san_luis,51533.0,2030.0,1810.0
2007-04-01,santa_cruz,54225.0,3763.0,3382.0
2007-04-01,santa_fe,453914.0,1915.0,1724.0
2007-04-01,santiago_estero,37527.0,1435.0,1271.0
2007-04-01,tierra_fuego,28044.0,3186.0,2836.0
2007-04-01,tucuman,139126.0,1475.0,1310.0
2007-07-01,caba,1463837.0,2366.0,2145.0
2007-07-01,catamarca,28745.0,1660.0,1492.0
2007-07-01,chaco,54999.0,1375.0,1231.0
2007-07-01,chubut,93104.0,3067.0,2751.0
2007-07-01,cordoba,437728.0,1658.0,1497.0
2007-07-01,corrientes,64107.0,1435.0,1282.0
2007-07-01,entre_rios,117843.0,1474.0,1325.0
2007-07-01,formosa,21069.0,1405.0,1238.0
2007-07-01,jujuy,44863.0,1619.0,1430.0
2007-07-01,la_pampa,36987.0,1539.0,1371.0
2007-07-01,la_rioja,26202.0,1562.0,1392.0
2007-07-01,mendoza,181979.0,1598.0,1447.0
2007-07-01,misiones,89707.0,1456.0,1297.0
2007-07-01,neuquen,87239.0,3081.0,2784.0
2007-07-01,provincia_buenos_aires,1709719.0,1919.0,1730.0
2007-07-01,rio_negro,85674.0,1843.0,1649.0
2007-07-01,salta,72890.0,1541.0,1375.0
2007-07-01,san_juan,68184.0,1598.0,1449.0
2007-07-01,san_luis,51713.0,1836.0,1643.0
2007-07-01,santa_cruz,51364.0,3517.0,3157.0
2007-07-01,santa_fe,458009.0,1773.0,1599.0
2007-07-01,santiago_estero,39118.0,1323.0,1178.0
2007-07-01,tierra_fuego,28572.0,3091.0,2760.0
2007-07-01,tucuman,146278.0,1389.0,1234.0
2007-10-01,caba,1495535.0,2852.0,2589.0
2007-10-01,catamarca,30239.0,2085.0,1882.0
2007-10-01,chaco,55240.0,1702.0,1522.0
2007-10-01,chubut,95766.0,3636.0,3244.0
2007-10-01,cordoba,454393.0,2053.0,1857.0
2007-10-01,corrientes,64297.0,1797.0,1602.0
2007-10-01,entre_rios,126938.0,1781.0,1600.0
2007-10-01,formosa,21311.0,1698.0,1492.0
2007-10-01,jujuy,47000.0,1881.0,1663.0
2007-10-01,la_pampa,37734.0,1915.0,1706.0
2007-10-01,la_rioja,26357.0,1983.0,1763.0
2007-10-01,mendoza,186849.0,1923.0,1742.0
2007-10-01,misiones,86747.0,1799.0,1601.0
2007-10-01,neuquen,89123.0,3634.0,3279.0
2007-10-01,provincia_buenos_aires,1765330.0,2342.0,2115.0
2007-10-01,rio_negro,87842.0,2199.0,1965.0
2007-10-01,salta,77096.0,1827.0,1627.0
2007-10-01,san_juan,70059.0,1989.0,1804.0
2007-10-01,san_luis,53919.0,2262.0,2019.0
2007-10-01,santa_cruz,54575.0,4130.0,3699.0
2007-10-01,santa_fe,472564.0,2178.0,1967.0
2007-10-01,santiago_estero,39870.0,1632.0,1453.0
2007-10-01,tierra_fuego,30331.0,3903.0,3495.0
2007-10-01,tucuman,142539.0,1651.0,1468.0
2008-01-01,caba,1507651.0,2841.0,2551.0
2008-01-01,catamarca,31827.0,1893.0,1686.0
2008-01-01,chaco,55748.0,1582.0,1391.0
2008-01-01,chubut,96238.0,3383.0,2968.0
2008-01-01,cordoba,462929.0,1908.0,1695.0
2008-01-01,corrientes,64891.00000000001,1669.0,1457.0
2008-01-01,entre_rios,120100.0,1746.0,1538.0
2008-01-01,formosa,20462.0,1578.0,1361.0
2008-01-01,jujuy,45635.0,1646.0,1427.0
2008-01-01,la_pampa,37082.0,1804.0,1570.0
2008-01-01,la_rioja,29269.0,1655.0,1442.0
2008-01-01,mendoza,196136.0,1807.0,1606.0
2008-01-01,misiones,86028.0,1666.0,1447.0
2008-01-01,neuquen,92212.0,3433.0,3064.0
2008-01-01,provincia_buenos_aires,1809044.0,2226.0,1979.0
2008-01-01,rio_negro,108880.0,2071.0,1814.0
2008-01-01,salta,79011.0,1693.0,1480.0
2008-01-01,san_juan,74369.0,1802.0,1597.0
2008-01-01,san_luis,54215.0,2093.0,1836.0
2008-01-01,santa_cruz,55974.0,3877.0,3420.0
2008-01-01,santa_fe,474388.0,2057.0,1826.0
2008-01-01,santiago_estero,40252.0,1513.0,1319.0
2008-01-01,tierra_fuego,28820.0,3332.0,2915.0
2008-01-01,tucuman,136615.0,1586.0,1390.0
2008-04-01,caba,1545664.0,3281.0,2901.0
2008-04-01,catamarca,34132.0,2182.0,1915.0
2008-04-01,chaco,58610.0,1904.0,1650.0
2008-04-01,chubut,97283.0,4330.0,3801.0
2008-04-01,cordoba,470323.0,2321.0,2030.0
2008-04-01,corrientes,66548.0,2037.0,1761.0
2008-04-01,entre_rios,123129.0,2099.0,1823.0
2008-04-01,formosa,20882.0,1965.0,1678.0
2008-04-01,jujuy,43831.0,2149.0,1852.0
2008-04-01,la_pampa,36910.0,2221.0,1911.0
2008-04-01,la_rioja,29566.0,2089.0,1804.0
2008-04-01,mendoza,193308.0,2215.0,1943.0
2008-04-01,misiones,89866.0,1981.0,1701.0
2008-04-01,neuquen,90176.0,4325.0,3840.0
2008-04-01,provincia_buenos_aires,1815811.0,2716.0,2379.0
2008-04-01,rio_negro,93426.0,2571.0,2234.0
2008-04-01,salta,76091.0,2178.0,1888.0
2008-04-01,san_juan,75049.0,2200.0,1916.0
2008-04-01,san_luis,54266.0,2572.0,2225.0
2008-04-01,santa_cruz,56942.0,5150.0,4555.0
2008-04-01,santa_fe,481821.0,2493.0,2178.0
2008-04-01,santiago_estero,41978.0,1860.0,1604.0
2008-04-01,tierra_fuego,29820.0,4237.0,3698.0
2008-04-01,tucuman,168635.0,1837.0,1587.0
2008-07-01,caba,1556327.0,3045.0,2686.0
2008-07-01,catamarca,30655.0,2155.0,1884.0
2008-07-01,chaco,59770.0,1805.0,1566.0
2008-07-01,chubut,96463.0,4149.0,3643.0
2008-07-01,cordoba,472788.0,2192.0,1919.0
2008-07-01,corrientes,66738.0,1912.0,1654.0
2008-07-01,entre_rios,124550.0,1969.0,1712.0
2008-07-01,formosa,20513.0,1880.0,1610.0
2008-07-01,jujuy,47433.0,2070.0,1782.0
2008-07-01,la_pampa,36359.0,2143.0,1851.0
2008-07-01,la_rioja,26560.0,2020.0,1746.0
2008-07-01,mendoza,186759.0,2149.0,1889.0
2008-07-01,misiones,90228.0,1869.0,1610.0
2008-07-01,neuquen,91425.0,4215.0,3751.0
2008-07-01,provincia_buenos_aires,1826774.0,2536.0,2221.0
2008-07-01,rio_negro,90540.0,2479.0,2158.0
2008-07-01,salta,77444.0,2026.0,1755.0
2008-07-01,san_juan,72873.0,2095.0,1831.0
2008-07-01,san_luis,54498.0,2423.0,2097.0
2008-07-01,santa_cruz,54005.0,4997.0,4427.0
2008-07-01,santa_fe,481530.0,2358.0,2061.0
2008-07-01,santiago_estero,43357.0,1752.0,1515.0
2008-07-01,tierra_fuego,30169.0,4219.0,3680.0
2008-07-01,tucuman,166821.0,1759.0,1523.0
2008-10-01,caba,1559693.0,3695.0,3249.0
2008-10-01,catamarca,31072.0,2720.0,2377.0
2008-10-01,chaco,60964.0,2185.0,1893.0
2008-10-01,chubut,97253.0,5299.0,4671.0
2008-10-01,cordoba,479256.0,2665.0,2325.0
2008-10-01,corrientes,67024.0,2326.0,2006.0
2008-10-01,entre_rios,132214.0,2299.0,1997.0
2008-10-01,formosa,21169.0,2308.0,1983.0
2008-10-01,jujuy,48759.0,2402.0,2067.0
2008-10-01,la_pampa,36709.0,2550.0,2197.0
2008-10-01,la_rioja,25685.0,2540.0,2181.0
2008-10-01,mendoza,189510.0,2533.0,2218.0
2008-10-01,misiones,86993.0,2294.0,1971.0
2008-10-01,neuquen,93115.0,4820.0,4263.0
2008-10-01,provincia_buenos_aires,1850767.0,3094.0,2704.0
2008-10-01,rio_negro,91820.0,2873.0,2491.0
2008-10-01,salta,82298.0,2361.0,2039.0
2008-10-01,san_juan,74984.0,2506.0,2176.0
2008-10-01,san_luis,55834.0,2964.0,2558.0
2008-10-01,santa_cruz,55585.0,5714.0,5030.0
2008-10-01,santa_fe,486990.0,2835.0,2466.0
2008-10-01,santiago_estero,44291.0,2096.0,1811.0
2008-10-01,tierra_fuego,30402.0,5199.0,4528.0
2008-10-01,tucuman,154105.0,2127.0,1844.0
2009-01-01,caba,1517619.0,3566.0,3161.0
2009-01-01,catamarca,30947.0,2359.0,2070.0
2009-01-01,chaco,60739.0,1922.0,1669.0
2009-01-01,chubut,94265.0,4545.0,3993.0
2009-01-01,cordoba,467537.0,2387.0,2092.0
2009-01-01,corrientes,64572.99999999999,2113.0,1829.0
2009-01-01,entre_rios,121461.0,2175.0,1896.0
2009-01-01,formosa,20696.0,2019.0,1730.0
2009-01-01,jujuy,46982.0,2052.0,1765.0
2009-01-01,la_pampa,36125.0,2310.0,1999.0
2009-01-01,la_rioja,28479.0,2068.0,1776.0
2009-01-01,mendoza,195842.0,2240.0,1966.0
2009-01-01,misiones,85376.0,2054.0,1766.0
2009-01-01,neuquen,94035.0,4334.0,3848.0
2009-01-01,provincia_buenos_aires,1825252.0,2790.0,2451.0
2009-01-01,rio_negro,111926.0,2598.0,2252.0
2009-01-01,salta,83426.0,2102.0,1815.0
2009-01-01,san_juan,76400.0,2244.0,1955.0
2009-01-01,san_luis,53282.0,2605.0,2258.0
2009-01-01,santa_cruz,55476.0,5169.0,4542.0
2009-01-01,santa_fe,470586.0,2559.0,2238.0
2009-01-01,santiago_estero,43072.0,1880.0,1626.0
2009-01-01,tierra_fuego,27418.0,4292.0,3731.0
2009-01-01,tucuman,136423.0,1986.0,1728.0
2009-04-01,caba,1501964.0,4048.0,3548.0
2009-04-01,catamarca,30568.0,2687.0,2330.0
2009-04-01,chaco,62577.0,2308.0,2003.0
2009-04-01,chubut,91556.0,5297.0,4628.0
2009-04-01,cordoba,460205.0,2868.0,2496.0
2009-04-01,corrientes,65007.99999999999,2477.0,2133.0
2009-04-01,entre_rios,123704.0,2552.0,2213.0
2009-04-01,formosa,20975.0,2451.0,2099.0
2009-04-01,jujuy,44639.0,2598.0,2235.0
2009-04-01,la_pampa,35887.0,2757.0,2378.0
2009-04-01,la_rioja,27108.0,2471.0,2116.0
2009-04-01,mendoza,186013.0,2703.0,2359.0
2009-04-01,misiones,89726.0,2388.0,2048.0
2009-04-01,neuquen,87241.0,5131.0,4542.0
2009-04-01,provincia_buenos_aires,1783424.0,3280.0,2859.0
2009-04-01,rio_negro,92653.0,3115.0,2699.0
2009-04-01,salta,78101.0,2629.0,2265.0
2009-04-01,san_juan,74435.0,2640.0,2282.0
2009-04-01,san_luis,52250.0,3093.0,2667.0
2009-04-01,santa_cruz,53334.0,6314.0,5538.0
2009-04-01,santa_fe,465908.0,3031.0,2635.0
2009-04-01,santiago_estero,43733.0,2247.0,1942.0
2009-04-01,tierra_fuego,26121.0,5205.0,4522.0
2009-04-01,tucuman,160254.0,2234.0,1936.0
2009-07-01,caba,1500046.0,3658.0,3207.0
2009-07-01,catamarca,28954.0,2509.0,2181.0
2009-07-01,chaco,62523.0,2075.0,1805.0
2009-07-01,chubut,90146.0,5274.0,4677.0
2009-07-01,cordoba,459399.0,2574.0,2242.0
2009-07-01,corrientes,65325.99999999999,2202.0,1902.0
2009-07-01,entre_rios,125276.0,2309.0,2006.0
2009-07-01,formosa,22059.0,2178.0,1868.0
2009-07-01,jujuy,48920.0,2446.0,2112.0
2009-07-01,la_pampa,36270.0,2467.0,2136.0
2009-07-01,la_rioja,26102.0,2333.0,2006.0
2009-07-01,mendoza,180907.0,2488.0,2177.0
2009-07-01,misiones,90103.0,2160.0,1855.0
2009-07-01,neuquen,86477.0,4897.0,4363.0
2009-07-01,provincia_buenos_aires,1783135.0,3005.0,2625.0
2009-07-01,rio_negro,89540.0,2864.0,2493.0
2009-07-01,salta,78957.0,2395.0,2069.0
2009-07-01,san_juan,72266.0,2432.0,2116.0
2009-07-01,san_luis,52583.0,2834.0,2451.0
2009-07-01,santa_cruz,51620.0,6211.0,5526.0
2009-07-01,santa_fe,463526.0,2771.0,2415.0
2009-07-01,santiago_estero,44419.0,2046.0,1770.0
2009-07-01,tierra_fuego,26023.0,4877.0,4261.0
2009-07-01,tucuman,164029.0,2061.0,1786.0
2009-10-01,caba,1513898.0,4349.0,3806.0
2009-10-01,catamarca,29984.0,3100.0,2693.0
2009-10-01,chaco,60404.0,2550.0,2214.0
2009-10-01,chubut,91244.0,6160.0,5434.0
2009-10-01,cordoba,468423.0,3144.0,2733.0
2009-10-01,corrientes,66547.0,2669.0,2303.0
2009-10-01,entre_rios,133894.0,2659.0,2306.0
2009-10-01,formosa,21887.0,2620.0,2246.0
2009-10-01,jujuy,50678.0,2820.0,2436.0
2009-10-01,la_pampa,36591.0,2972.0,2569.0
2009-10-01,la_rioja,25969.0,2926.0,2515.0
2009-10-01,mendoza,183824.0,2976.0,2598.0
2009-10-01,misiones,86609.0,2754.0,2372.0
2009-10-01,neuquen,86551.0,5816.0,5163.0
2009-10-01,provincia_buenos_aires,1819339.0,3632.0,3161.0
2009-10-01,rio_negro,91925.0,3347.0,2906.0
2009-10-01,salta,84765.0,2756.0,2375.0
2009-10-01,san_juan,73105.0,2870.0,2490.0
2009-10-01,san_luis,54495.0,3477.0,2994.0
2009-10-01,santa_cruz,52705.0,6925.0,6100.0
2009-10-01,santa_fe,473154.0,3336.0,2897.0
2009-10-01,santiago_estero,43765.0,2464.0,2128.0
2009-10-01,tierra_fuego,28305.0,6112.0,5322.0
2009-10-01,tucuman,153465.0,2473.0,2143.0
2010-01-01,caba,1519830.0,4284.0,3793.0
2010-01-01,catamarca,31393.0,2704.0,2354.0
2010-01-01,chaco,59473.0,2444.0,2135.0
2010-01-01,chubut,91721.0,5715.0,5066.0
2010-01-01,cordoba,478456.0,2922.0,2555.0
2010-01-01,corrientes,65606.0,2477.0,2145.0
2010-01-01,entre_rios,123919.0,2641.0,2300.0
2010-01-01,formosa,21909.0,2473.0,2133.0
2010-01-01,jujuy,49645.0,2501.0,2161.0
2010-01-01,la_pampa,35859.0,2825.0,2451.0
2010-01-01,la_rioja,31380.0,2387.0,2056.0
2010-01-01,mendoza,194824.0,2745.0,2400.0
2010-01-01,misiones,86766.0,2470.0,2131.0
2010-01-01,neuquen,89940.0,5358.0,4772.0
2010-01-01,provincia_buenos_aires,1844804.0,3388.0,2968.0
2010-01-01,rio_negro,111606.0,3124.0,2714.0
2010-01-01,salta,86992.0,2596.0,2249.0
2010-01-01,san_juan,76235.0,2682.0,2329.0
2010-01-01,san_luis,55789.0,3171.0,2735.0
2010-01-01,santa_cruz,54204.0,6424.0,5689.0
2010-01-01,santa_fe,471998.0,3147.0,2739.0
2010-01-01,santiago_estero,43971.0,2310.0,2003.0
2010-01-01,tierra_fuego,28799.0,5277.0,4586.0
2010-01-01,tucuman,136124.0,2455.0,2141.0
2010-04-01,caba,1526244.0,4924.0,4322.0
2010-04-01,catamarca,33575.0,3228.0,2788.0
2010-04-01,chaco,60508.0,3007.0,2606.0
2010-04-01,chubut,91107.0,7044.0,6247.0
2010-04-01,cordoba,480700.0,3544.0,3066.0
2010-04-01,corrientes,66364.0,2968.0,2557.0
2010-04-01,entre_rios,127223.0,3203.0,2765.0
2010-04-01,formosa,22422.0,2961.0,2550.0
2010-04-01,jujuy,50056.0,3327.0,2872.0
2010-04-01,la_pampa,35435.0,3462.0,2995.0
2010-04-01,la_rioja,30923.0,3032.0,2603.0
2010-04-01,mendoza,234378.0,3420.0,2971.0
2010-04-01,misiones,90919.0,2967.0,2548.0
2010-04-01,neuquen,86645.0,6678.0,5956.0
2010-04-01,provincia_buenos_aires,1836345.0,4098.0,3564.0
2010-04-01,rio_negro,96241.0,3799.0,3301.0
2010-04-01,salta,105092.0,3240.0,2804.0
2010-04-01,san_juan,75590.0,3288.0,2834.0
2010-04-01,san_luis,55175.0,3959.0,3396.0
2010-04-01,santa_cruz,52847.0,8028.0,7130.0
2010-04-01,santa_fe,476965.0,3837.0,3317.0
2010-04-01,santiago_estero,46369.0,2767.0,2388.0
2010-04-01,tierra_fuego,29673.0,6656.0,5812.0
2010-04-01,tucuman,159442.0,2854.0,2475.0
2010-07-01,caba,1538767.0,4558.0,3989.0
2010-07-01,catamarca,30463.0,3279.0,2837.0
2010-07-01,chaco,61315.0,2912.0,2546.0
2010-07-01,chubut,92453.0,6645.0,5917.0
2010-07-01,cordoba,482278.0,3337.0,2890.0
2010-07-01,corrientes,66164.0,2813.0,2436.0
2010-07-01,entre_rios,129711.00000000001,3018.0,2602.0
2010-07-01,formosa,23280.0,2794.0,2434.0
2010-07-01,jujuy,53310.0,3123.0,2700.0
2010-07-01,la_pampa,34778.0,3287.0,2845.0
2010-07-01,la_rioja,27552.0,2994.0,2584.0
2010-07-01,mendoza,228081.0,3225.0,2809.0
2010-07-01,misiones,91716.0,2812.0,2423.0
2010-07-01,neuquen,87575.0,6229.0,5559.0
2010-07-01,provincia_buenos_aires,1853024.0,3864.0,3343.0
2010-07-01,rio_negro,92954.0,3690.0,3226.0
2010-07-01,salta,106357.0,3010.0,2622.0
2010-07-01,san_juan,75289.0,3089.0,2668.0
2010-07-01,san_luis,54877.0,3717.0,3193.0
2010-07-01,santa_cruz,52986.0,7827.0,7003.0
2010-07-01,santa_fe,480168.0,3583.0,3084.0
2010-07-01,santiago_estero,48030.0,2632.0,2284.0
2010-07-01,tierra_fuego,30787.0,6711.0,5897.0
2010-07-01,tucuman,164219.0,2731.0,2365.0
2010-10-01,caba,1564606.0,5639.0,4943.0
2010-10-01,catamarca,30720.0,4149.0,3598.0
2010-10-01,chaco,62448.0,3585.0,3135.0
